StateNames,statecode,Year,schools_established,sc_schools,st_schools,tot_min_schools,SC_res,ST_res,Elec_Yrs_ECI,female_win_prop,SC_curr_share,ST_curr_share,sc_census_share,st_census_share,Population_Density_SqKm,sc_school_prop,st_school_prop,minority_schools_prop,ST_res_inter_ST_curr_share,SC_res_inter_SC_curr_share
Punjab,11,1995,618,96,0,96,24.7863247863248,0,0,5.12820512820513,30.2942657267523,0,31.93032221726416,0,361,.1553398058252427,0,.1553398058252427,0,750.8835094665104
Rajasthan,12,1995,2260,505,378,796,16.5829145728643,12.0603015075377,0,4.52261306532663,17.54700630851678,13.89792874636508,17.98084244213502,15.38220902241403,112,.2234513274336283,.1672566371681416,.352212389380531,167.6132110114383,290.9805066236448
Tamil Nadu,13,1995,506,70,85,123,17.9487179487179,1.28205128205128,0,13.5593220338983,20.83691288085131,1.198469080576582,22.91389272945199,1.373543779818437,395,.1383399209486166,.1679841897233202,.2430830039525692,1.536498821252026,373.9958722204071
Tripura,14,1995,48,14,5,19,11.6666666666667,33.3333333333333,0,1.66666666666667,16.78823948925987,33.60456580672979,16.25633059357289,35.93533503119696,223,.2916666666666667,.1041666666666667,.3958333333333333,1120.152193557659,195.8627940413656
Uttar Pradesh,15,1995,7544,1805,1150,2893,21.2765957446809,.236406619385343,0,3.3096926713948,22.15678592664948,.1542940347297053,23.15866576665233,.2430605490419866,481,.2392629904559915,.1524390243902439,.3834835630965006,.0364761311417743,471.4209771627559
West Bengal,16,1995,357,48,32,72,20.0680272108844,5.78231292517007,0,7.14285714285714,25.19628052571604,6.370585484372649,27.55783813949599,7.317037403248637,676,.134453781512605,.0896358543417367,.2016806722689076,36.8367187871888,505.6396432031462
Assam,17,1995,846,102,177,279,6.349206349206351,12.6984126984127,0,3.96825396825397,7.022942262195274,17.37626639022763,7.177020862692229,18.12883900942698,252,.1205673758865248,.2092198581560284,.3297872340425532,220.6510017806683,44.59010960123985
Andhra Pradesh,1,1996,1171,217,165,382,13.265306122449,5.10204081632653,0,2.72108843537415,16.90137460209368,7.133136792233666,18.01415490570492,7.980632683709851,218,.1853116994022203,.1409052092228864,.3262169086251068,36.39355506241665,224.2019079869573
Bihar,2,1996,862,62,34,93,14.8148148148148,8.641975308641971,0,3.39506172839506,15.49534861930925,4.374137237167542,15.24515394283286,8.202532414294881,620,.0719257540603248,.0394431554524362,.1078886310904872,37.80118600021331,229.5607202860627
Delhi,3,1996,111,1,0,1,18.5714285714286,0,0,4.28571428571429,17.23679528655175,0,21.88670616710519,0,5273,.009009009009009,0,.009009009009009,0,320.111912464533
Gujarat,4,1996,634,137,93,230,7.14285714285714,14.2857142857143,0,1.0989010989011,7.065209546881207,16.90926367890679,7.018281176348045,20.92550337408056,192,.2160883280757098,.1466876971608833,.3627760252365931,241.5609096986687,50.46578247772289
Haryana,5,1996,435,81,0,81,18.8888888888889,0,1,5.49450549450549,20.16598701511272,0,21.55933352373425,0,332,.1862068965517241,0,.1862068965517241,0,380.9130880632404
Karnataka,6,1996,1401,292,300,450,14.7321428571429,.892857142857143,0,3.125,16.93174459439788,6.069451211473178,18.16959335536851,5.244695160478249,214,.2084225553176303,.2141327623126338,.3211991434689507,5.419152867386766,249.4408801853267
